id	ACTA2	AREG	ASCC2	BEST1	BRCA1	CREBBP	DDX5	EP300	ESR1	FAM96A	FHL2	GNL3	HIPK2	HSF1	IGSF9	JUN	MSH6	NCOA6	PARP1	PAWR	PCNA	PML	PPP2R5A	RPA1	SMAD3	SMARCA4	NCOA6IP	TP53	TP73L	WRN	WT1	WTAP
3920T	7.62901630793309148970138267031871	6.75995607315577284879282160545699	6.72126874669076901369635379523970	6.64625483919945025945708039216697	6.30676542201744272375663058483042	6.51565124074342705284834664780647	6.89904992101231595569288401748054	6.20614033399581632721719870460220	7.16028390873977294006635929690674	6.23863240360443782606125751044601	6.64263360411540215721970525919460	6.06620689617384822867052207584493	6.64625483919945025945708039216697	6.10001574061248152958114587818272	5.72482541431931668540755708818324	6.45720700639933653519619838334620	6.39263993211945091843517730012536	6.02167759581147876701834320556372	6.16535987186189959885496136848815	6.54976264719105305545099326991476	6.18613085374349136458249631687067	6.33560128629582752779469956294633	6.02799929888722996196293024695478	6.10570186346987320291646028636023	6.22435521178843309542116912780330	6.06111927624776125611560928518884	6.15958256709655582739060264430009	5.73864139281752105858913637348451	6.54446915768028691928748230566271	6.12748842521164505114938947372139	6.67177765440484904502227436751127	6.40801418980521830803809280041605
3932T	7.79073294696822049587581204832532	6.46150809626492250714591136784293	6.32818895118097035634718849905767	6.62452893010923027361513959476724	6.36486817018272432733283494599164	6.66964514358953497463744497508742	7.00481596433225828235435983515345	6.28618032447058450173926757997833	7.50392111963876473623713536653668	6.30570524276994515133765162318014	6.79805589653856312537527628592215	6.15388943321512371653625450562686	6.07284389924633849489055137382820	5.94012375095073874575746231130324	5.78455188002860953844219693564810	6.83947970076286626550654546008445	6.44351432532087198268300198833458	6.16215443540050777926353475777432	6.09504693555570931096099229762331	6.30038734018594492880538382451050	6.41790792167169854565145215019584	6.41457564935640700554131399258040	5.94531834864190855682863912079483	6.24793228507629816448343262891285	6.10001574061248152958114587818272	6.24986985724961563448687229538336	6.61092133280726024224804859841242	5.90284080218118578642361171660013	6.29296225883205462281466679996811	6.50657274679289354679667667369358	6.47077400728503793203572058700956	6.41891634915861430954464594833553
3958T	7.45006556949162224157134915003553	6.82483912072164056183964930824004	6.13517427406487669827583886217326	7.35063514516654681330010134843178	6.75284983173257025157454336294904	6.71224902194327022186826070537791	7.89582123902480859101160604041070	7.45006556949162224157134915003553	6.47090774036474414288022671826184	7.06357063598049617070273598073982	6.55609846543950158803681915742345	7.47948088545996103704283086699434	7.50392111963876473623713536653668	7.89582123902480859101160604041070	6.01750774164399260257596324663609	7.79073294696822049587581204832532	7.06427930367309464543268404668197	6.40866465342782110070629641995765	6.78066705365336108712881468818523	7.45006556949162224157134915003553	7.27826305560765973723391653038561	7.12860968063098976443825449678116	7.12475099609799755739913962315768	7.18880761612468344168291878304444	6.09745826064093687790546027827077	6.12220471944694466515102249104530	6.86683381439454976202796387951821	7.70708506302075679883500924916007	6.44351432532087198268300198833458	7.50392111963876473623713536653668	6.57073456916899534263620807905681	7.15616682823387773026979630230926
4001T	6.57323499494519314367835249868222	5.85802104179616556223209045128897	5.55156677253089103629690725938417	6.25286540923358380439367465442047	5.85248982953822594055282024783082	6.47961523251018078894958307500929	6.15720927901319914354871798423119	6.21489491808378069492846407229081	6.65417773002203460919190547429025	5.80210555376043668474039805005305	6.18843040206564065641714478260837	5.67259829826562533838796298368834	5.74016635678789821639611545833759	6.02799929888722996196293024695478	5.68262245375937613545147542026825	5.68588942342790382156181294703856	5.76835320286225261554591270396486	5.85476517857590739168927029822953	5.74016635678789821639611545833759	5.76149033214263628366325065144338	5.86776890586572275054777492186986	5.85871096970067828380024366197176	5.87140136118494115891053297673352	5.73165484761972443550348543794826	5.75006083569936521371346316300333	5.65321454233970577263335144380108	5.75997577395030990743407528498210	5.97411489112824423131087314686738	5.91149122027644757793041208060458	5.67173636131948111227529807365499	6.02860255046979709447896311758086	6.12850579296272712781501468271017
4092T	6.75995607315577284879282160545699	6.26278228787533652877073109266348	5.74840648684099875254105427302420	6.47512315537611193860811908962205	6.01968714137732696656257758149877	6.04137782433644954238616264774464	6.07284389924633849489055137382820	6.41336187322000039756630940246396	6.04812674108359882296781506738625	6.23062359984962199632718693464994	6.10383756290490175899776659207419	6.11670203449382920979360278579406	6.53285927082578776747823212645017	6.10239442493416373025638677063398	5.81063898035869819125309732044116	5.94355568498814168520993916899897	6.07747566602601807517203269526362	6.08497693150103202697209781035781	6.38930643550110488604332203976810	6.14620655011561112246454285923392	6.32601507488405534473940861062147	6.25739488959485878893929111654870	6.34622099815200346739629821968265	5.81254131867377488163128873566166	6.13517427406487669827583886217326	5.80922920758895511283981250016950	5.92554636965969994122360731125809	6.22435521178843309542116912780330	5.86453383560160546039696782827377	5.87792163164838843414372604456730	6.14665255191892345720816592802294	6.02640143863512367516932499711402
4095T	6.86683381439454976202796387951821	6.27936022910948121733554216916673	5.71469501888783426579720980953425	6.51162663972190891570335224969313	5.92340749855814507895956921856850	6.26811391933050643388014577794820	6.62452893010923027361513959476724	7.16028390873977294006635929690674	6.54446915768028691928748230566271	6.20023269304026314330258173868060	6.57443543991547585392254404723644	6.02604375121356117261939289164729	5.97198951344414297182083828374743	5.78633184355172147661505732685328	5.71637528633780522824281433713622	6.88246575814590499931000522337854	6.07030237713257836418279111967422	5.95281554916299349144992447691038	5.89775883121211386139748356072232	6.05667434420116546078816099907272	5.91100333869457816859949161880650	6.25634274352059804868986248038709	6.06111927624776125611560928518884	5.84041855873728188441873498959467	6.57323499494519314367835249868222	5.87945606630394657088345411466435	5.91825121400909193170036814990453	6.72126874669076901369635379523970	6.19129259384592511850087248603813	5.92900340639996148439649914507754	6.20722428184462771127982705365866	6.10473482049191673581844952423126
4138T	6.61755180217506389084292095503770	6.38089253197100880754533136496320	5.70595136911595268713881523581222	6.12473445618389966682570957345888	5.88204530151006110827438533306122	6.01080566488186285312167456140742	5.93308276580008087108808467746712	6.24713096388924782331741880625486	6.38089253197100880754533136496320	5.78625895198494077931172796525061	6.09358274399204269400343036977574	5.78425611032183351056801257072948	6.36487529642843252730699532548897	6.07284389924633849489055137382820	5.90801569936240777991542927338742	6.03030959045875114554746687645093	5.80422293761707219772461030515842	5.77648962051326009259355487301946	5.87328956052972728230088250711560	5.80249594429885284796455380273983	5.85343330313203669135191375971772	6.23434991857944353910170320887119	5.88792049554625673835062116268091	5.71630740529722558562752965372056	6.04812674108359882296781506738625	5.66644757213731686817936861189082	5.71111656258140154562852330855094	5.86817089579888673256391484756023	6.34622099815200346739629821968265	5.79103209564485243987519424990751	6.16683018093894919076092264731415	5.92227848838552617394270782824606
4189T	6.34990095136088328331425145734102	6.15167721044154802712000673636794	6.29296225883205462281466679996811	6.93465802783973472855905129108578	6.51037644780537583244495181133971	6.19247744934603261413030850235373	6.39263993211945091843517730012536	7.19308373706345882681034709094092	6.52696270504624465047527337446809	6.69615543132860402408823574660346	6.17216613823953430539859255077317	6.42621905094035827943343974766321	6.60465166626093846957701316569000	6.80181310204812916708760894834995	6.03464844133614253252062553656287	6.27600749570058802362382266437635	6.17630681353625465845880171400495	6.25600313407746533300723967840895	6.40430164683786795620790144312195	6.55509922986881932160940777976066	6.45863809012253842212203380768187	6.60941855833800762098917402909137	6.42184047906135635486180035513826	6.03989595640003429366515774745494	6.57919282235020030924488310120068	6.17630681353625465845880171400495	6.13013519188280042726546525955200	6.39263993211945091843517730012536	6.15167721044154802712000673636794	6.29296225883205462281466679996811	6.10137955763433836864351178519428	6.41997003101804253333284577820450
4198T	6.85374245492789224698526595602743	6.57323499494519314367835249868222	5.91502964112522899853274793713354	6.77032031386450494636619623634033	6.13349152008233833299755133339204	6.68233332192951934302982408553362	6.48497913581568408147859372547828	7.70708506302075679883500924916007	7.26782696686578244538168291910551	6.49470211326883095637185761006549	6.27444234367385433870367705821991	6.22405183011625684486034515430219	6.57323499494519314367835249868222	6.12473445618389966682570957345888	5.94531834864190855682863912079483	6.28261216192360905097302747890353	6.18886989043431423596075546811335	6.42992137484816694836808892432600	6.50062632541295926102975499816239	6.06544457090517852293487521819770	6.19195534400135016994681791402400	6.21487830690002507338931536651216	6.47090774036474414288022671826184	6.27135655020608773213552922243252	6.28618032447058450173926757997833	6.05874638236975915361881561693735	5.97411489112824423131087314686738	6.20892590569399871469613572116941	6.02382819078718334537825285224244	6.03898020653590172912572597851977	6.24791032891623387968138558790088	6.12369589249642043427002136013471
4216T	6.74920573557657910157558944774792	6.00740027240802554331366991391405	5.81683723506360816912774680531584	6.17630681353625465845880171400495	5.93545205173482770533155417069793	5.98873487714097940681767795467749	6.06324190478643032520267297513783	6.50062632541295926102975499816239	6.53285927082578776747823212645017	5.97723189078081063030367658939213	6.13573411702876203577261549071409	5.87863875881761099861932962085120	6.63146840338041254625522924470715	6.08258849066394269300417363410816	5.97981660634719514035850806976669	6.16811067393253331658797833370045	5.89608217377775467582523560849950	5.88792049554625673835062116268091	5.93635879467248006591262310394086	5.78940374766409515672194174840115	5.80951356300490839856820457498543	6.03505932641949005557080454309471	6.00128455364864166199367900844663	5.81300666197446957994543481618166	5.96178189564809368761189034557901	5.82631662057525900877408275846392	5.74492207796614184900363397900946	6.05667434420116546078816099907272	6.32099256456556801708757120650262	5.86603754999863014063521404750645	5.83853387457663597359669438446872	5.87636735329454396037363039795309
4221T	7.06427930367309464543268404668197	6.28965411702540322380627912934870	6.04544362605491425455284115741961	6.22774627341277486891613079933450	5.87212243161488967047034748247825	6.18699829451320226780808297917247	6.44760382529845355037423360045068	6.51692537188381582069496289477684	6.59170649114693762982142288819887	5.96560349424161984188685892149806	6.36789271123739375468630896648392	5.96084929481165204379067290574312	6.56085157611617830752948066219687	6.23669618857052121541073574917391	5.90284080218118578642361171660013	6.41336187322000039756630940246396	6.05010940868211033460966064012609	5.96792457903710893418747218674980	5.97810042331424185135801963042468	5.88098519860401491854418054572307	5.84711672418035277587478049099445	6.12905415465010516840038690133952	6.71211975561772788978487369604409	5.85168214651806728454630501801148	6.34990095136088328331425145734102	5.82333386340402192615783860674128	5.73197661429399385468741456861608	6.07747566602601807517203269526362	6.15409485916275844630263236467727	6.03030959045875114554746687645093	6.10058734470015728845737612573430	5.94232162190767976284178075729869
4222T	7.19308373706345882681034709094092	6.14620655011561112246454285923392	6.07747566602601807517203269526362	6.28261216192360905097302747890353	6.32834241443789924375096234143712	6.46056126020290832911996403709054	6.26278228787533652877073109266348	7.79073294696822049587581204832532	6.77032031386450494636619623634033	6.62327232796116227575566881569102	6.59187220237564019953424576669931	6.68370941054448319817993251490407	8.05269085125725680995856237132102	6.25600313407746533300723967840895	5.81683723506360816912774680531584	6.59170649114693762982142288819887	6.54446915768028691928748230566271	6.53847235934323478545593388844281	7.12475099609799755739913962315768	6.66900549921136942543853365350515	6.26139200790078565006524513592012	6.34373882041157077793513963115402	6.65417773002203460919190547429025	6.33658663225412244202061629039235	6.16215443540050777926353475777432	6.17387717614664754961495418683626	6.13259473230660479003972795908339	6.48497913581568408147859372547828	5.99314196973764801157358306227252	6.24319569515573657980667121591978	5.99275034786113369733584477216937	6.31319297495747822068778987159021
4244T	6.91527588948808524804690023302101	5.91662090672881113562198152067140	6.02574951886838405812341079581529	6.14081423200756848501669082907028	5.90716113917453888859654398402199	6.27242240490923741447204520227388	6.44351432532087198268300198833458	6.79026898748253060489332710858434	6.73973471277991009742436290252954	6.01164167093029355726230278378353	6.22644739290014381793980646762066	5.82963569060897679463550957734697	6.39705027826607430796457265387289	6.03684726253627612635455079725944	5.86603754999863014063521404750645	6.02799929888722996196293024695478	6.02799929888722996196293024695478	6.03684726253627612635455079725944	6.11232168839206657651175191858783	5.84313415191763052547457846230827	5.84973385395582834433980679023080	6.13235030310561057831364450976253	6.07030237713257836418279111967422	5.95826004259426067477534161298536	6.01750774164399260257596324663609	5.81683723506360816912774680531584	5.83136932111148720281335045001470	5.93498560785413520335396242444403	6.33478670844281133156528085237369	5.99314196973764801157358306227252	6.01953629888966545991024759132415	5.92589952247865792145375962718390
4245T	6.40093680147703025795635767281055	6.44760382529845355037423360045068	5.88433709878510136093154869740829	6.10472768621526018506528998841532	6.26970876388464493089713869267143	5.84360396625457667596492683514953	6.23051795356888149512997188139707	7.06427930367309464543268404668197	6.34990095136088328331425145734102	6.47440797209412455259780472260900	5.99962493723681156154725613305345	6.01592915301075148448717300198041	6.14620655011561112246454285923392	5.83136932111148720281335045001470	5.93635879467248006591262310394086	5.64754592091744545001574806519784	6.53847235934323478545593388844281	5.82333386340402192615783860674128	6.37264187120034630851250767591409	5.92900340639996148439649914507754	6.22994903275009548337948217522353	6.18157131521312663835487910546362	5.75838366814363578072288873954676	6.25899269433150351460426463745534	5.78940374766409515672194174840115	5.79253393698426677360657777171582	5.87453264428207333480713714379817	6.42550462326208293717400010791607	5.85314584311905328206648846389726	5.83787791558413715620190487243235	5.79513089181002527539021684788167	5.94489346393989848138517118059099
4253T	6.93465802783973472855905129108578	6.07498167489042284472589017241262	5.70762638556468893114015372702852	5.97198951344414297182083828374743	5.82035487519220673391373566119000	6.07319110235312020762421525432728	6.05874638236975915361881561693735	6.78066705365336108712881468818523	6.51162663972190891570335224969313	5.97050754765749136510066819027998	6.42067890446909927959495689719915	5.76476133755660935520381826790981	6.09504693555570931096099229762331	5.87328956052972728230088250711560	5.62732083867891486050893945503049	5.75526923151158698033214022871107	5.96020470627677845243397314334288	5.81683723506360816912774680531584	6.09745826064093687790546027827077	5.85802104179616556223209045128897	5.79068311882986108685145154595375	6.09932738591143674966588150709867	5.78791300420459720044163987040520	5.97907242836752850223547284258530	5.84467940497952120892932725837454	5.72327458143482292740600314573385	5.82970244209001631219280170626007	6.02006676697232911976698233047500	6.11959294055690250502266280818731	5.68588942342790382156181294703856	6.03089881813028760859651811188087	5.86521696595545005692429185728543
4256T	6.25286540923358380439367465442047	6.06111927624776125611560928518884	6.00341199346335585573797288816422	5.95847058822198505367850884795189	5.96249051499374083107340993592516	6.18988711004709557528258301317692	6.11232168839206657651175191858783	6.72126874669076901369635379523970	6.13013519188280042726546525955200	6.14546933533702244289997906889766	6.02139869639336833273546290001832	5.86215073265180119932438174146228	6.12473445618389966682570957345888	5.94531834864190855682863912079483	6.12473445618389966682570957345888	5.88792049554625673835062116268091	6.31737353836060666623097858973779	5.75838366814363578072288873954676	6.00740027240802554331366991391405	7.03380399892256580329785720095970	6.05020755329292114765848964452744	6.08199495510751741988997309817933	5.79765426373010850369382751523517	6.40259592710368874435289399116300	6.05874638236975915361881561693735	5.80590763695280287493005744181573	5.90801569936240777991542927338742	6.20614033399581632721719870460220	6.69447907896246885428581663290970	5.80775186620520589286797985550947	5.93148372557413239292145590297878	5.95628028789195784753474072203971
4260T	6.30737624476560299058292002882808	6.30737624476560299058292002882808	5.79433814068572416999813867732882	5.80061288504041705493818881222978	5.70397222501939449301744389231317	5.83644922911474761662020682706498	5.80775186620520589286797985550947	6.22117798550700129567303520161659	6.00940159480685576198766284505837	5.80959696580379336694477387936786	6.19797058110065712810410332167521	5.73711100320915790007347823120654	6.37264187120034630851250767591409	5.73197661429399385468741456861608	5.83456459300456931060807619360276	5.63984714591164326691341557307169	5.72148422066303918853691357071511	5.65709260323202389741936713107862	5.83292190496580076342070242390037	5.71469501888783426579720980953425	5.76862058762693052926806558389217	5.96560421371278781776936739333905	5.72327458143482292740600314573385	5.65722460323325204711863989359699	5.67351176306837956531126110348850	5.58466491417930566143468240625225	5.67173636131948111227529807365499	5.85802104179616556223209045128897	5.78286090891140602820996718946844	5.63568852256286945134888810571283	5.85994676166706973674536129692569	5.81561570517542936187282975879498
4305T	5.77343384915324087103272177046165	6.10001574061248152958114587818272	5.77969965951352371291704912437126	5.83945677304477239744073813199066	5.92049761524167728055090265115723	6.02419320294594662357212655479088	6.07747566602601807517203269526362	7.12475099609799755739913962315768	7.89582123902480859101160604041070	6.15322017635539619817564016557299	5.79298125494669591262208996340632	5.80732875938069259547091860440560	6.19740170012736513172058039344847	5.58689982083671488055642839754000	5.78791300420459720044163987040520	5.50311049270500785013382483157329	5.89949130635091822938420591526665	5.63316147905886133173680718755350	6.20011941287975787417963147163391	5.71637528633780522824281433713622	5.96302180201044595975190532044508	5.92962701445577966552491488982923	5.67876068390363464288839168148115	6.03176359987341381696523967548274	5.73345928472555410593258784501813	5.94012375095073874575746231130324	5.71970395463398784130504282074980	6.15167721044154802712000673636794	6.46150809626492250714591136784293	5.65709260323202389741936713107862	5.65296985367982962600308383116499	5.82190774275780142943403916433454
4348T	6.36487529642843252730699532548897	5.80061288504041705493818881222978	5.64932660375051476364660629769787	5.69511133970276972604551701806486	5.79829583638409395973667415091768	5.70007877585180366963868436869234	5.67012169796804688104430169914849	5.69511133970276972604551701806486	5.83136932111148720281335045001470	5.69057129551257556698828921071254	5.77543306049109350652770444867201	5.68845383864706644061470797169022	5.70762638556468893114015372702852	5.78940374766409515672194174840115	5.62902228412789806810678783222102	5.69336847043242233468163249199279	5.73197661429399385468741456861608	5.66092262881875640800899418536574	5.65894778350515537113096797838807	5.68420832375345153053558533429168	5.69959514775919995344111157464795	5.69865140261678693178737376001664	5.68982218246690951701793892425485	5.73100623401477804463866050355136	5.62331351590356565139927624841221	5.65709260323202389741936713107862	5.76661026701707868369339848868549	5.67351176306837956531126110348850	5.85615483060811214954810566268861	5.75358982901581583746519754640758	5.75530239777520513655417744303122	5.80657013394967247421618594671600
